Day,Source,Account name,Campaign name,Ad Set Name,Ad name,Amount spent (USD),Impressions,Reach,Frequency,Link clicks,Registrations Completed,Adds to cart,Checkouts Initiated,Purchases,Purchases conversion value
2025-07-01,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
2025-07-02,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
2025-07-03,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
2025-07-04,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
2025-07-05,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
2025-07-06,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
2025-07-07,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
2025-07-08,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
2025-07-09,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
2025-07-10,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
2025-07-11,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
2025-07-12,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
2025-07-13,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
2025-07-14,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
2025-07-15,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
2025-07-16,X (Twitter),Etool Aishilun @manaboo_kr 2024/07 (T2863598),[Reg] NEW_F_240717,REG_Lead LAL_18-34_F,WISHHERLV_V_propose_250805,0.0,0,,,0,0,0,0,0,0.0
